section_id	paragraph_id	alignment_status	primary_repo_refs	supporting_repo_refs	assessment_notes	remediation_priority	recommended_action
biso_responsibilities	P01	Aligned	core/02_Service_Catalog.md#what-bisos-actually-do; deliverables/BISOPRO-17_Security_Consultation_Framework.md#executive-summary	deliverables/BISOPRO-04_Stakeholder_Engagement_Protocols.md#executive-summary	Repo represents responsibilities as service-oriented and advisory across sectors with additional implementation depth.	P2	No change.
biso_responsibilities	P02	Exact	core/02_Service_Catalog.md#security-consultation; deliverables/BISOPRO-17_Security_Consultation_Framework.md#core-consultation-services	core/05_Stakeholder_Engagement.md#how-bisos-build-trust	Consult/advisory role, translation function, and complexity-bridging language are directly aligned.	P2	No change.
biso_responsibilities	P03	Aligned	deliverables/BISOPRO-04_Stakeholder_Engagement_Protocols.md#stakeholder-engagement-framework; deliverables/BISOPRO-12_Risk_Assessment_Methodology.md#core-assessment-principles	deliverables/BISOPRO-06_Authority_Framework.md	Shared accountability with business and compliance oversight is represented with stronger governance mechanics.	P2	No change.
biso_responsibilities	P04	Exact	core/02_Service_Catalog.md#what-bisos-dont-do; deliverables/BISOPRO-06_Authority_Framework.md#authority-philosophy	deliverables/BISOPRO-25_Escalation_Decision_Framework.md#decision-categories	"Business owns risk; BISO defines/communicates/escalates/governs" is explicitly aligned.	P2	No change.
biso_responsibilities	P05	Exact	core/02_Service_Catalog.md#what-bisos-dont-do	deliverables/BISOPRO-06_Authority_Framework.md	Duplicate source paragraph of P04.	P2	No change (dedupe at source index level only).
biso_service_catalog	P01	Aligned	core/02_Service_Catalog.md#the-4-core-biso-services; deliverables/BISOPRO-17_Security_Consultation_Framework.md#consultation-service-portfolio	deliverables/BISOPRO-09_Key_Processes_Implementation.md#core-process-areas	Source extraction contains header only, but repository has comprehensive service-catalog implementation that aligns with section intent.	P2	No change.
the_biso_program_in_practice	P01	Aligned	deliverables/BISOPRO-12_Risk_Assessment_Methodology.md#risk-assessment-framework; deliverables/BISOPRO-17_Security_Consultation_Framework.md#consultation-delivery-framework	core/02_Service_Catalog.md	Risk-informed recommendations built from business input are strongly represented.	P2	No change.
the_biso_program_in_practice	P02	Aligned	deliverables/BISOPRO-07_Reporting_Structure.md#executive-summary; deliverables/BISOPRO-15_Strategic_Alignment.md#business-strategy-alignment	deliverables/BISOPRO-10_Support_Structure.md	Escalation of business-unit risk into enterprise-level decisioning is operationalized in reporting and alignment frameworks.	P2	No change.
the_biso_program_in_practice	P03	Aligned	deliverables/BISOPRO-07_Reporting_Structure.md#escalation-triggers; deliverables/BISOPRO-15_Strategic_Alignment.md#strategic-review-process	deliverables/BISOPRO-10_Support_Structure.md	Duplicate source paragraph of P02; repository still aligned.	P2	No change.
the_biso_program_in_practice	P04	Exact	core/01_Program_Guide.md#key-insight; core/02_Service_Catalog.md#what-bisos-dont-do	deliverables/BISOPRO-06_Authority_Framework.md#authority-philosophy	Non-blocking balanced-decision role statement is explicitly and repeatedly represented.	P2	No change.
